project,bug_id,classname,method_name,label
Closure,98,com.google.javascript.jscomp.ReferenceCollectingCallback,isInitializingAssignmentAt,FN
Lang,11,org.apache.commons.lang3.RandomStringUtils,random,FN
Lang,12,org.apache.commons.lang3.RandomStringUtils,random,FN
Lang,13,org.apache.commons.lang3.SerializationUtils,ClassLoaderAwareObjectInputStream,FN
Lang,13,org.apache.commons.lang3.SerializationUtils,resolveClass,FN
Lang,15,org.apache.commons.lang3.reflect.TypeUtils,isAssignable,FN
Lang,15,org.apache.commons.lang3.reflect.TypeUtils,substituteTypeVariables,FN
Lang,17,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate,FN
Lang,19,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,translate,FN
Lang,22,org.apache.commons.lang3.math.Fraction,greatestCommonDivisor,FN
Lang,23,org.apache.commons.lang3.text.ExtendedMessageFormat,equals,FN
Lang,28,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,translate,FN
Lang,29,org.apache.commons.lang3.SystemUtils,toJavaVersionInt,FN
Lang,30,org.apache.commons.lang3.StringUtils,containsAny,FN
Lang,30,org.apache.commons.lang3.StringUtils,containsNone,FN
Lang,30,org.apache.commons.lang3.StringUtils,indexOfAny,FN
Lang,31,org.apache.commons.lang3.StringUtils,containsAny,FN
Lang,32,org.apache.commons.lang3.builder.HashCodeBuilder,initialValue,FN
Lang,32,org.apache.commons.lang3.builder.HashCodeBuilder,isRegistered,FN
Lang,32,org.apache.commons.lang3.builder.HashCodeBuilder,register,FN
Lang,32,org.apache.commons.lang3.builder.HashCodeBuilder,unregister,FN
Lang,34,org.apache.commons.lang3.builder.ToStringStyle,getRegistry,FN
Lang,34,org.apache.commons.lang3.builder.ToStringStyle,isRegistered,FN
Lang,35,org.apache.commons.lang3.ArrayUtils,addAll,FN
Lang,35,org.apache.commons.lang3.ArrayUtils,copyArrayGrow1,FN
Lang,39,org.apache.commons.lang3.StringUtils,replaceEach,FN
Lang,4,org.apache.commons.lang3.text.translate.LookupTranslator,translate,FN
Lang,41,org.apache.commons.lang.ClassUtils,getPackageName,FN
Lang,41,org.apache.commons.lang.ClassUtils,getShortClassName,FN
Lang,42,org.apache.commons.lang.Entities,escape,FN
Lang,45,org.apache.commons.lang.WordUtils,abbreviate,FN
Lang,46,org.apache.commons.lang.StringEscapeUtils,escapeJava,FN
Lang,46,org.apache.commons.lang.StringEscapeUtils,escapeJavaScript,FN
Lang,46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,FN
Lang,49,org.apache.commons.lang.math.Fraction,reduce,FN
Lang,5,org.apache.commons.lang3.LocaleUtils,localeLookupList,FN
Lang,5,org.apache.commons.lang3.LocaleUtils,toLocale,FN
Lang,52,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,FN
Lang,54,org.apache.commons.lang.LocaleUtils,toLocale,FN
Lang,55,org.apache.commons.lang.time.StopWatch,stop,FN
Lang,56,org.apache.commons.lang.time.FastDateFormat,readObject,FN
Lang,57,org.apache.commons.lang.LocaleUtils,isAvailableLocale,FN
Lang,6,org.apache.commons.lang3.text.translate.CharSequenceTranslator,translate,FN
Lang,7,org.apache.commons.lang3.math.NumberUtils,createBigDecimal,FN
Lang,8,org.apache.commons.lang3.time.FastDatePrinter,appendTo,FN
Lang,8,org.apache.commons.lang3.time.FastDatePrinter,getTimeZoneDisplay,FN
Math,101,org.apache.commons.math.complex.ComplexFormat,parse,FN
Math,103,org.apache.commons.math.distribution.NormalDistributionImpl,cumulativeProbability,FN
Math,105,org.apache.commons.math.stat.regression.SimpleRegression,getSumSquaredErrors,FN
Math,11,org.apache.commons.math3.distribution.MultivariateNormalDistribution,density,FN
Math,13,org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,squareRoot,FN
Math,14,org.apache.commons.math3.optim.nonlinear.vector.Weight,Weight,FN
Math,14,org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizer,squareRoot,FN
Math,16,org.apache.commons.math3.util.FastMath,cosh,FN
Math,16,org.apache.commons.math3.util.FastMath,sinh,FN
Math,18,org.apache.commons.math3.optimization.direct.CMAESOptimizer,decode,FN
Math,18,org.apache.commons.math3.optimization.direct.CMAESOptimizer,encode,FN
Math,18,org.apache.commons.math3.optimization.direct.CMAESOptimizer,isFeasible,FN
Math,19,org.apache.commons.math3.optimization.direct.CMAESOptimizer,checkParameters,FN
Math,2,org.apache.commons.math3.distribution.HypergeometricDistribution,getNumericalMean,FN
Math,20,org.apache.commons.math3.optimization.direct.CMAESOptimizer,repairAndDecode,FN
Math,21,org.apache.commons.math3.linear.RectangularCholeskyDecomposition,RectangularCholeskyDecomposition,FN
Math,22,org.apache.commons.math3.distribution.FDistribution,isSupportLowerBoundInclusive,FN
Math,22,org.apache.commons.math3.distribution.UniformRealDistribution,isSupportUpperBoundInclusive,FN
Math,23,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,FN
Math,24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,FN
Math,25,org.apache.commons.math3.optimization.fitting.HarmonicFitter,guessAOmega,FN
Math,27,org.apache.commons.math3.fraction.Fraction,percentageValue,FN
Math,29,org.apache.commons.math3.linear.OpenMapRealVector,ebeDivide,FN
Math,29,org.apache.commons.math3.linear.OpenMapRealVector,ebeMultiply,FN
Math,3,org.apache.commons.math3.util.MathArrays,linearCombination,FN
Math,32,org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet,computeGeometricalProperties,FN
Math,33,org.apache.commons.math3.optimization.linear.SimplexTableau,dropPhase1Objective,FN
Math,34,org.apache.commons.math3.genetics.ListPopulation,iterator,FN
Math,35,org.apache.commons.math3.genetics.ElitisticListPopulation,ElitisticListPopulation,FN
Math,37,org.apache.commons.math.complex.Complex,tan,FN
Math,37,org.apache.commons.math.complex.Complex,tanh,FN
